Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
00407AEE  push topprobe.6B0E34                                              L"Watch"
00407B60  push topprobe.6B0E00                                              L"Show/Hide Waveform window"
00407B75  push topprobe.6B0DEC                                              L"Waveform"
00407C0D  push topprobe.6D2E4C                                              L"comboBox"
00407C21  push topprobe.6B0DE0                                              L"100%"
00407C94  mov dword ptr ds:[esi+150],topprobe.6B0034                        "PB@"
00407D02  push topprobe.6B0DD4                                              L"200%"
00407D4C  push topprobe.6B0DC8                                              L"150%"
00407D96  push topprobe.6B0DE0                                              L"100%"
00407DE0  push topprobe.6B0DC0                                              L"75%"
00407E3D  push topprobe.6B0DB4                                              L"Zoom"
00407EF0  push topprobe.6B0D8C                                              L"Start/Stop Scanning"
00407F06  push topprobe.6B0D84                                              L"Run"
00407F76  push topprobe.6B0CF0                                              L"Reset JTAG chain TAP controller(s) and release control of JTAG pod driver"
00407F8B  push topprobe.6B0CD4                                              L"JTAG Reset"
00408002  push topprobe.6B0C78                                              L"Select instruction to load into the device IR"
00408018  push topprobe.6B0C60                                              L"Instruction"
0040808E  push topprobe.6B0C50                                              L"toolbar"
00408239  push topprobe.6B0EF4                                              L"Untitled"
004082A2  push topprobe.6B0EE8                                              L" - "
004082B3  push topprobe.6AD848                                              L"TopJTAG Probe"
00408531  push topprobe.6B0F1C                                              L"signals"
004085A1  push topprobe.6B0F08                                              L"find_pin"
00408653  push topprobe.6B0F1C                                              L"signals"
00408661  push topprobe.6B0F2C                                              L"watch"
0040866F  push topprobe.6AF734                                              L"waveform"
00408744  push topprobe.6B0F1C                                              L"signals"
00408752  push topprobe.6B0F2C                                              L"watch"
00408760  push topprobe.6AF734                                              L"waveform"
004087A3  push topprobe.6AF734                                              L"waveform"
00408853  push topprobe.6B0F1C                                              L"signals"
00408861  push topprobe.6B0F2C                                              L"watch"
0040886F  push topprobe.6AF734                                              L"waveform"
00408931  push topprobe.6B0DB4                                              L"Zoom"
00408A2A  push topprobe.6AD840                                              L"%d"
00408A80  mov eax,topprobe.6B0DB4                                           L"Zoom"
00408B1E  push topprobe.6B0F38                                              L" Pr&operties..."
00408B5C  push topprobe.6B0964                                              L"Device Pr&operties..."
00408C3E  push topprobe.6B0F58                                              L" &Package..."
00408C7C  push topprobe.6B0990                                              L"Device &Package..."
00408D5E  push topprobe.6B0F74                                              L" &BSDL File..."
00408D9C  push topprobe.6B09B8                                              L"Device &BSDL File..."
00408E83  push topprobe.6B0F94                                              L" &Instruction..."
00408EC1  push topprobe.6B09E4                                              L"Device &Instruction..."
00409122  push topprobe.6AF72C                                              L"log"
004091DC  push topprobe.6B0FB8                                              L"TopJTAG Probe 1.7.5, build 1551, May  1 2012\n"
00409282  push topprobe.6AF72C                                              L"log"
004092E7  push topprobe.6B1038                                              L"Turn Off &Logging"
0040932A  push topprobe.6B1038                                              L"Turn Off &Logging"
00409354  push topprobe.6B1014                                              L"Turn On &Logging"
00409393  push topprobe.6B1014                                              L"Turn On &Logging"
004094AE  push topprobe.6AF734                                              L"waveform"
0040953A  push topprobe.6B105C                                              L"&Close "
004095CE  push topprobe.6B0B3C                                              L"&Close"
00409613  push topprobe.6B0B3C                                              L"&Close"
004096F5  push topprobe.6B0F1C                                              L"signals"
004097EF  push topprobe.6B10E4                                              L"Set All "
00409840  push topprobe.6B10B8                                              L" Pins to BSDL '&Safe'"
00409877  push topprobe.6B1070                                              L"Set All Device Pins to BSDL '&Safe'"
004098FF  push topprobe.6B0F2C                                              L"watch"
004099E2  push topprobe.6B0F2C                                              L"watch"
00409A47  push topprobe.6B0B3C                                              L"&Close"
00409A8A  push topprobe.6B0B3C                                              L"&Close"
00409AB4  push topprobe.6B10F8                                              L"&Show"
00409AF3  push topprobe.6B10F8                                              L"&Show"
00409B80  push topprobe.6AF734                                              L"waveform"
00409C72  push topprobe.6AF734                                              L"waveform"
00409CD7  push topprobe.6B0B3C                                              L"&Close"
00409D1A  push topprobe.6B0B3C                                              L"&Close"
00409D44  push topprobe.6B10F8                                              L"&Show"
00409D83  push topprobe.6B10F8                                              L"&Show"
00409E0E  push topprobe.6AF734                                              L"waveform"
00409EB5  push topprobe.6D3030                                              L"filedlg"
00409ECB  push topprobe.6B1148                                              L"Project Files (*.topprobe)|*.topprobe"
