Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
00412851  mov eax,dword ptr ds:[412218]                                     "d\"A"
004128A5  mov eax,dword ptr ds:[4126D4]                                     " 'A"
00412939  mov eax,dword ptr ds:[4122E0]                                     ",#A"
00412995  mov eax,dword ptr ds:[4124D8]                                     "$%A"
00412A9F  mov eax,dword ptr ds:[4122E0]                                     ",#A"
00412AC5  mov eax,dword ptr ds:[41240C]                                     "X$A"
00412B80  mov eax,dword ptr ds:[41260C]                                     "X&A"
00412B91  mov eax,dword ptr ds:[6DF7E0]                                     "41l"
00417F5E  mov edx,aoao watermark.418048                                     "String"
00417F76  mov edx,aoao watermark.418058                                     "Any"
00417FE4  mov edx,dword ptr ds:[6DF7E0]                                     "41l"
00417FFC  mov edx,aoao watermark.418064                                     "Array "
0041800F  mov edx,aoao watermark.418074                                     "ByRef "
00418799  mov edx,dword ptr ds:[6DF608]                                     " 0l"
004189ED  mov eax,dword ptr ds:[6DF7E0]                                     "41l"
004189F4  mov edx,aoao watermark.418A60                                     "0x"
0041D32E  mov edx,aoao watermark.41D3B4                                     "nil"
0041D759  mov eax,aoao watermark.41D7AC                                     "%s[%d]"
0041E01C  mov edx,aoao watermark.41E038                                     "Strings"
0041E3F4  mov edx,aoao watermark.41E4E0                                     "\r\n"
0041FD8E  mov eax,dword ptr ds:[6DF708]                                     "(0l"
0041FDA0  mov ecx,dword ptr ds:[6DF708]                                     "(0l"
004202AB  mov edx,aoao watermark.420318                                     "Owner"
00420DF8  mov edx,dword ptr ds:[420D58]                                     "\\\rB"
00421381  mov edx,dword ptr ds:[420D58]                                     "\\\rB"
00421686  mov edx,aoao watermark.4216D0                                     "False"
00421694  mov edx,aoao watermark.4216E0                                     "True"
004216A2  mov edx,aoao watermark.4216F0                                     "nil"
004216B0  mov edx,aoao watermark.4216FC                                     "Null"
00421888  mov eax,dword ptr ds:[6DF374]                                     "`4l"
00421B6A  mov eax,dword ptr ds:[420024]                                     L"pB"
00421FF2  mov eax,aoao watermark.422018                                     "%s_%d"
0042241C  cmp eax,dword ptr ds:[6C349C]                                     "TPF0"
00423876  mov edx,aoao watermark.423900                                     "False"
00423892  mov edx,aoao watermark.423910                                     "True"
004238AD  mov edx,aoao watermark.423920                                     "Null"
004238C8  mov edx,aoao watermark.423930                                     "nil"
00424624  mov edx,aoao watermark.4246E8                                     "Owner"
004246A7  mov ecx,aoao watermark.424704                                     ".Owner"
004249A2  mov edx,aoao watermark.424A14                                     "f:\\ycl\\borland\\delphi7\\Lib\\Classes.pas"
004249A7  mov eax,aoao watermark.424A44                                     "Component reference name should always be non blank"
00425120  mov edx,aoao watermark.6C349C                                     "TPF0"
00425364  mov bl,byte ptr ds:[ebx+6C34A8]                                   "0123456789ABCDEF"
00425378  mov bl,byte ptr ds:[ebx+6C34A8]                                   "0123456789ABCDEF"
00425C8B  mov edx,aoao watermark.425CE4                                     "f:\\ycl\\borland\\delphi7\\Lib\\Classes.pas"
00425C90  mov eax,aoao watermark.425D14                                     "Assertion failure"
00425FB0  mov edx,aoao watermark.425FF0                                     "Left"
00425FD3  mov edx,aoao watermark.426000                                     "Top"
00427557  imul esp,dword ptr ds:[ebx+73],ole32.7560C08B                     "e\\Classes"
