Found strings are
Address    Disassembly                               Text string
00405F0B   PUSH 0049C778                             ASCII "train"
00405F33   PUSH 0049C768                             ASCII "train crossing"
00405F5B   PUSH 0049C760                             ASCII "truck"
00405F83   PUSH 0049C75C                             ASCII "van"
00405FAB   PUSH 0049C750                             ASCII "West Ave"
00405FD3   PUSH 0049C748                             ASCII "worker"
00405FFB   PUSH 0049C73C                             ASCII "yield sign"
00406023   PUSH 0049C730                             ASCII "back yard"
0040604B   PUSH 0049C724                             ASCII "bathroom"
00406073   PUSH 0049C718                             ASCII "bath tub"
0040609B   PUSH 0049C714                             ASCII "bed"
004060C3   PUSH 0049C70C                             ASCII "bedroom"
004060EB   PUSH 0049C704                             ASCII "bicycle"
00406113   PUSH 0049C6FC                             ASCII "bureau"
0040613B   PUSH 0049C6F8                             ASCII "cat"
00406163   PUSH 0049C6EC                             ASCII "chandelier"
0040618B   PUSH 0049C6E4                             ASCII "china"
004061B3   PUSH 0049C6D4                             ASCII "coffee table"
004061DB   PUSH 0049C6C8                             ASCII "countertop"
00406203   PUSH 0049C6B8                             ASCII "cuckoo clock"
0040622B   PUSH 0049C6AC                             ASCII "cupboard"
00406253   PUSH 0049C6A4                             ASCII "curtain"
0040627B   PUSH 0049C698                             ASCII "dining room"
004062A3   PUSH 0049C690                             ASCII "dishes"
004062CB   PUSH 0049C684                             ASCII "dishwasher"
004062F3   PUSH 0049C678                             ASCII "dog dish"
0040631B   PUSH 0049C66C                             ASCII "dog house"
00406343   PUSH 0049C664                             ASCII "dresser"
0040636B   PUSH 0049C65C                             ASCII "drill"
00406393   PUSH 0049C650                             ASCII "driveway"
004063BB   PUSH 0049C644                             ASCII "fireplace"
004063E3   PUSH 0049C63C                             ASCII "freezer"
0040640B   PUSH 0049C630                             ASCII "garage door"
00406433   PUSH 0049C624                             ASCII "garden hose"
0040645B   PUSH 0049C61C                             ASCII "hammer"
00406483   PUSH 0049C610                             ASCII "hand rail"
004064AB   PUSH 0049C608                             ASCII "kitchen"
004064D3   PUSH 0049C600                             ASCII "lamp"
004064FB   PUSH 0049C5F8                             ASCII "light"
00406523   PUSH 0049C5EC                             ASCII "living room"
0040654B   PUSH 0049C5E4                             ASCII "mirror"
00406573   PUSH 0049C5D8                             ASCII "neighbor"
0040659B   PUSH 0049C5CC                             ASCII "nightstand"
004065C3   PUSH 0049C5C4                             ASCII "picture"
004065EB   PUSH 0049C5BC                             ASCII "pillow"
00406613   PUSH 0049C5B0                             ASCII "porch light"
0040663B   PUSH 0049C5A8                             ASCII "rake"
00406663   PUSH 0049C598                             ASCII "refrigerator"
0040668B   PUSH 0049C590                             ASCII "roof"
004066B3   PUSH 0049C58C                             ASCII "rug"
004066DB   PUSH 0049C580                             ASCII "screwdriver"
00406703   PUSH 0049C578                             ASCII "shovel"
0040672B   PUSH 0049C570                             ASCII "shower"
00406753   PUSH 0049C560                             ASCII "shower curtain"
0040677B   PUSH 0049C558                             ASCII "siding"
004067A3   PUSH 0049C550                             ASCII "sofa"
004067CB   PUSH 0049C548                             ASCII "stairs"
004067F3   PUSH 0049C540                             ASCII "stove"
0040681B   PUSH 0049C534                             ASCII "television"
00406843   PUSH 0049C52C                             ASCII "toaster"
0040686B   PUSH 0049C524                             ASCII "toilet"
00406893   PUSH 0049C51C                             ASCII "toolbox"
004068BE   PUSH 0049C514                             ASCII "towel"
004068E9   PUSH 0049C50C                             ASCII "wagon"
00406914   PUSH 0049C500                             ASCII "workbench"
0040693F   PUSH 0049C4F0                             ASCII "basketball hoop"
0040696A   PUSH 0049C4EC                             ASCII "art"
00406995   PUSH 0049C4E0                             ASCII "audio tape"
004069C0   PUSH 0049C4D0                             ASCII "balance beam"
004069EB   PUSH 0049C4C4                             ASCII "baseball"
00406A16   PUSH 0049C4B8                             ASCII "basketball"
00406A41   PUSH 0049C4A4                             ASCII "appointment book"
00406A6C   PUSH 0049C498                             ASCII "bike rack"
00406A97   PUSH 0049C490                             ASCII "book"
00406AC2   PUSH 0049C484                             ASCII "bookshelf"
00406AED   PUSH 0049C474                             ASCII "bulletin board"
00406B18   PUSH 0049C468                             ASCII "calendar"
00406B43   PUSH 0049C45C                             ASCII "chalkboard"
00406B6E   PUSH 0049C44C                             ASCII "checkout desk"
00406B99   PUSH 0049C444                             ASCII "choir"
00406BC4   PUSH 0049C438                             ASCII "classroom"
00406BEF   PUSH 0049C42C                             ASCII "clay pot"
00406C1A   PUSH 0049C420                             ASCII "computer"
00406C45   PUSH 0049C410                             ASCII "computer desk"
00406C70   PUSH 0049C408                             ASCII "cubicle"
00406C9B   PUSH 0049C3FC                             ASCII "dictionary"
00406CC6   PUSH 0049C3F0                             ASCII "drum set"
00406CF1   PUSH 0049C3E8                             ASCII "easel"
00406D1C   PUSH 0049C3E0                             ASCII "eraser"
00406D47   PUSH 0049C3D0                             ASCII "file cabinet"
00406D72   PUSH 0049C3C4                             ASCII "front desk"
00406D9D   PUSH 0049C3BC                             ASCII "globe"
00406DC8   PUSH 0049C3B4                             ASCII "guitar"
00406DF3   PUSH 0049C3A8                             ASCII "guitarist"
00406E1E   PUSH 0049C3A4                             ASCII "gym"
00406E49   PUSH 0049C398                             ASCII "index cards"
00406E74   PUSH 0049C38C                             ASCII "jungle gym"
00406E9F   PUSH 0049C380                             ASCII "librarian"
00406ECA   PUSH 0049C378                             ASCII "locker"
00406EF5   PUSH 0049C374                             ASCII "map"
00406F20   PUSH 0049C368                             ASCII "microphone"
00406F4B   PUSH 0049C35C                             ASCII "monkey bars"
00406F76   PUSH 0049C354                             ASCII "music"
00406FA1   PUSH 0049C34C                             ASCII "office"
00406FCC   PUSH 0049C340                             ASCII "paint brush"
00406FF7   PUSH 0049C334                             ASCII "painting"
00407022   PUSH 0049C328                             ASCII "paint stand"
0040704D   PUSH 0049C320                             ASCII "palette"
00407078   PUSH 0049C314                             ASCII "paper towel"
004070A3   PUSH 0049C30C                             ASCII "pencil"
004070CE   PUSH 0049C304                             ASCII "piano"
004070F9   PUSH 0049C2F8                             ASCII "piano bench"
00407124   PUSH 0049C2F0                             ASCII "poster"
0040714F   PUSH 0049C2E0                             ASCII "potter's wheel"
0040717A   PUSH 0049C2CC                             ASCII "principal's office"
004071A5   PUSH 0049C2C4                             ASCII "rings"
004071D0   PUSH 0049C2B8                             ASCII "rope climb"
004071FB   PUSH 0049C2B0                             ASCII "sand"
00407226   PUSH 0049C2A4                             ASCII "saxophone"
00407251   PUSH 0049C298                             ASCII "scoreboard"
0040727C   PUSH 0049C28C                             ASCII "sculpture"
004072A7   PUSH 0049C280                             ASCII "sheet music"
004072D2   PUSH 0049C278                             ASCII "slide"
004072FD   PUSH 0049C270                             ASCII "soccer"
00407328   PUSH 0049C268                             ASCII "speaker"
00407353   PUSH 0049C260                             ASCII "stage"
0040737E   PUSH 0049C254                             ASCII "still life"
004073A9   PUSH 0049C244                             ASCII "student desk"
004073D4   PUSH 0049C238                             ASCII "swing set"
004073FF   PUSH 0049C228                             ASCII "teacher desk"
0040742A   PUSH 0049C218                             ASCII "teeter totter"
00407455   PUSH 0049C210                             ASCII "tuba"
00407480   PUSH 0049C208                             ASCII "video"
004074AB   PUSH 0049C200                             ASCII "violin"
004074D6   PUSH 0049C1F4                             ASCII "volleyball"
00407501   PUSH 0049C1E4                             ASCII "volleyball net"
0040752C   PUSH 0049C1D0                             ASCII "(Looking for Words)"
00407554   PUSH 0049C1CC                             ASCII "car"
0040757C   PUSH 0049C1C0                             ASCII "bus stop"
004075A4   PUSH 0049C1B8                             ASCII "bush"
004075CC   PUSH 0049C1B0                             ASCII "chair"
004075F4   PUSH 0049C1A8                             ASCII "clock"
0040761C   PUSH 0049C1A0                             ASCII "door"
00407644   PUSH 0049C198                             ASCII "fence"
0040766C   PUSH 0049C190                             ASCII "flag"
00407694   PUSH 0049C188                             ASCII "floor"
004076BC   PUSH 0049C180                             ASCII "flowers"
004076E4   PUSH 0049C178                             ASCII "garage"
0040770F   PUSH 0049C170                             ASCII "garden"
0040773A   PUSH 0049C168                             ASCII "good"
00407765   PUSH 0049C15C                             ASCII "good bye"
00407790   PUSH 0049C150                             ASCII "good job"
004077BB   PUSH 0049C148                             ASCII "grass"
004077E6   PUSH 0049C140                             ASCII "home"
00407811   PUSH 0049C134                             ASCII "lawnmower"
0040783C   PUSH 0049C12C                             ASCII "library"
00407867   PUSH 0049C124                             ASCII "mailbox"
00407892   PUSH 0049C11C                             ASCII "Main St"
004078BD   PUSH 0049BA50                             ASCII "OK"
004078E8   PUSH 0049C114                             ASCII "perfect"
00407913   PUSH 0049C10C                             ASCII "plant"
0040793E   PUSH 0049C100                             ASCII "playground"
00407969   PUSH 0049C0F0                             ASCII "please continue"
00407994   PUSH 0049C0E8                             ASCII "right"
004079BF   PUSH 0049C0E0                             ASCII "school"
004079EA   PUSH 0049C0D4                             ASCII "school bus"
00407A15   PUSH 0049C0CC                             ASCII "shelf"
00407A40   PUSH 0049C0C0                             ASCII "sidewalk"
00407A6B   PUSH 0049C0B8                             ASCII "sink"
00407A96   PUSH 0049C0B4                             ASCII "sky"
00407AC1   PUSH 0049C0A8                             ASCII "sure quit"
00407AEC   PUSH 0049C09C                             ASCII "sure stop"
00407B17   PUSH 0049C094                             ASCII "table"
00407B42   PUSH 0049C088                             ASCII "telephone"
00407B6D   PUSH 0049C078                             ASCII "that's correct"
00407B98   PUSH 0049C06C                             ASCII "that's it"
00407BC3   PUSH 0049C05C                             ASCII "that's right"
00407BEE   PUSH 0049C054                             ASCII "trash"
00407C19   PUSH 0049C04C                             ASCII "tree"
00407C44   PUSH 0049C040                             ASCII "try again"
00407C6F   PUSH 0049C034                             ASCII "very good"
00407C9A   PUSH 0049C02C                             ASCII "wall"
00407CC5   PUSH 0049C024                             ASCII "warning"
00407CF0   PUSH 0049C01C                             ASCII "window"
00407D1B   PUSH 0049C010                             ASCII "you got it"
00407D46   PUSH 0049C008                             ASCII "File"
00407D6E   PUSH 0049BFFC                             ASCII "User Log..."
00407D96   PUSH 0049BFF0                             ASCII "Options..."
00407DBE   PUSH 0049BFDC                             ASCII "View User Log..."
00407DE6   PUSH 0049BFD4                             ASCII "Exit"
00407E0E   PUSH 0049BFCC                             ASCII "Sound"
00407E36   PUSH 0049BFC4                             ASCII "Speech"
00407E5E   PUSH 0049BFBC                             ASCII "Music"
00407E86   PUSH 0049BFAC                             ASCII "Sound effects"
00407EAE   PUSH 0049BFA4                             ASCII "Help"
00407ED6   PUSH 0049BF88                             ASCII "About Looking for Words..."
00407EFE   PUSH 0049BF7C                             ASCII "Users..."
00407F26   PUSH 0049BF70                             ASCII "Settings..."
00407F4E   PUSH 0049BF60                             ASCII "Vocabulary..."
00407F76   PUSH 0049BF58                             ASCII "Words"
00407F9E   PUSH 0049BF4C                             ASCII "Language"
00407FC6   PUSH 0049BF44                             ASCII "Options"
00407FEE   PUSH 0049BF3C                             ASCII "Users"
00408016   PUSH 0049BF34                             ASCII "active"
0040803E   PUSH 0049BF28                             ASCII "inactive"
00408066   PUSH 0049BF1C                             ASCII "invisible"
0040808E   PUSH 0049BF10                             ASCII "Interface"
004080B6   PUSH 0049BF00                             ASCII "Written words"
004080DE   PUSH 0049BEF0                             ASCII "Verbal words"
00408106   PUSH 0049BEE8                             ASCII "English"
0040812E   PUSH 0049BEE0                             ASCII "Italian"
00408156   PUSH 0049BED8                             ASCII "German"
0040817E   PUSH 0049BED0                             ASCII "Spanish"
004081A6   PUSH 0049BEC8                             ASCII "French"
004081CE   PUSH 0049BEC0                             ASCII "Where"
004081F6   PUSH 0049C140                             ASCII "home"
0040821E   PUSH 0049C0E0                             ASCII "school"
